"Gene","Spearman_corr","P_value","Sample_size","Significance"
"MMP2",-0.469169402174343,1.57908355427073e-30,533,"***"
"MAPK3",-0.358938511900856,1.18915477190805e-17,533,"***"
"SNAI1",-0.353425654840196,3.9846979763333e-17,533,"***"
"TWIST1",0.322899813171258,2.12393790366678e-14,533,"***"
"MMP9",-0.088396355886616,0.0413511309214404,533,"*"
"MAPK1",-0.0855187428183083,0.0484574681060045,533,"*"
