"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CEACAM1",3.0633497994845e-183,2.06754868726905,0.165,0.048,8.12124665341336e-179
"ITGB8",0,2.0492659126325,0.255,0.059,0
"KIAA0368",1.12969596182131e-128,2.04241948000918,0.108,0.029,2.99493696438447e-124
"SCUBE2",0,2.04086981732673,0.243,0.064,0
"KLK11",4.87498339229654e-238,2.03181773156427,0.187,0.048,1.29240684713174e-233
"SEPP1",0,2.02905295653618,0.426,0.102,0
"FAM63B",0,1.97033251092278,0.263,0.075,0
"INADL",1.05752598367092e-176,1.96034840280796,0.156,0.044,2.80360713530997e-172
"C19orf33",0,1.95638363499773,0.366,0.107,0
"RARRES1",0,1.9479229092734,0.386,0.132,0
"THSD4",5.39090479327511e-232,1.94637798215433,0.254,0.091,1.42918276974516e-227
"LINC00152",0,1.94409914529066,0.314,0.083,0
"CCDC64B",8.31932495544868e-232,1.93784500243621,0.195,0.053,2.205536238939e-227
"LINC00998",0,1.93686059104268,0.315,0.088,0
"ADGRG6",1.66665085559768e-213,1.93347648301521,0.148,0.033,4.41845808327502e-209
"PDE8B",5.29759196194782e-186,1.92876106317506,0.182,0.057,1.40444460503199e-181
"CTD-2336O2.1",6.4262571810577e-269,1.92498710189873,0.23,0.065,1.70366504127021e-264
"KRT19",0,1.91884778398711,0.613,0.263,0
"KIAA0141",3.552483148015e-136,1.91558736153388,0.114,0.03,9.41798807370257e-132
"PPL",2.10403737339994e-145,1.90643794339493,0.146,0.046,5.57801348062057e-141
"PHYHD1",1.37578819947079e-185,1.89426002193085,0.125,0.027,3.64735209561701e-181
"MUC1",8.53814530184387e-193,1.8907145368668,0.177,0.052,2.26354770097183e-188
"EHF",2.73418400392643e-255,1.88466151870311,0.279,0.1,7.24859521280935e-251
"C5orf56",1.71219664475385e-172,1.88362775608999,0.162,0.048,4.53920452490692e-168
"COLCA1",1.94953079817316e-290,1.88250411727997,0.322,0.12,5.16840109903686e-286
"TMEM2",5.71566456269887e-233,1.8807956960013,0.194,0.052,1.5152798322171e-228
"MACC1",9.54834643536032e-151,1.88073225801616,0.121,0.031,2.53136212347837e-146
"SNHG18",3.37934204434619e-302,1.87481300565146,0.223,0.054,8.95897369376618e-298
"RP4-568C11.4",1.89552646732766e-156,1.85034768882306,0.133,0.035,5.02523021753236e-152
"AC013461.1",7.11509096870944e-192,1.84050623260381,0.182,0.054,1.88628176671456e-187
"ERBB2IP",1.14164474653545e-186,1.83599381845537,0.181,0.055,3.02661438754014e-182
"TACSTD2",0,1.82663029387479,0.611,0.228,0
"GRAMD3",4.6190680092013e-162,1.82658679493823,0.136,0.036,1.22456111991936e-157
"ACKR1",2.88172467119862e-225,1.820425383885,0.145,0.03,7.63974027581467e-221
"GPRC5A",0,1.81330178515358,0.426,0.157,0
"RP11-138A9.1",6.46424945843395e-128,1.81274653909633,0.109,0.029,1.71373717392543e-123
"NACA2",1.62510895806211e-105,1.80118631701124,0.109,0.034,4.30832635871845e-101
"C15orf57",4.87742463615342e-134,1.79878950727007,0.13,0.039,1.29305404529063e-129
"PVRL2",0,1.78655977226933,0.306,0.096,0
"MEIS2",5.89516188853672e-298,1.78123856649577,0.264,0.077,1.56286636826997e-293
"ATXN7",5.04220243112078e-153,1.78069164638792,0.139,0.04,1.33673828651443e-148
"LINC00657",0,1.77658232207702,0.419,0.136,0
"ITGB4",5.54377973615932e-233,1.77239542057954,0.201,0.056,1.4697114458532e-228
"TSPAN12",9.72870923056456e-172,1.77206597183359,0.169,0.052,2.57917810411497e-167
"SOX7",2.14023807028503e-169,1.77080763357218,0.152,0.043,5.67398514813266e-165
"TMEM45B",9.0133896730598e-156,1.76423558169185,0.157,0.049,2.38953973622488e-151
"FO538757.2",1.23403626968408e-150,1.75512150853493,0.159,0.051,3.27155355455945e-146
"PAPD5",1.04001574192939e-121,1.75151139158255,0.126,0.039,2.75718573342899e-117
"SCD5",2.16447888086306e-172,1.7512569433063,0.186,0.063,5.73824996105607e-168
"PLLP",1.08083206721584e-114,1.74989088168706,0.108,0.031,2.86539389339591e-110
"CCL3L3",3.27957146196435e-138,1.74779585199274,0.121,0.033,8.6944719028137e-134
"SLC40A1",0,1.7418792071794,0.339,0.103,0
"RP3-325F22.5",6.5147397787848e-142,1.73822265517915,0.136,0.04,1.72712266275364e-137
"MIR222HG",0,1.73744561860929,0.286,0.086,0
"SGMS2",7.95087630011889e-190,1.73223731355459,0.187,0.057,2.10785681592452e-185
"FAM73A",3.97994346748947e-102,1.73085661508955,0.106,0.033,1.05512281266613e-97
"LINC01503",9.06365136765294e-140,1.72524638084286,0.139,0.042,2.40286461407847e-135
"STEAP4",4.28165784447182e-129,1.72496414826252,0.107,0.028,1.13511031114792e-124
"CSTA",2.51203523701524e-237,1.72280787970459,0.203,0.055,6.65965661685111e-233
"RHOV",3.47567659756356e-228,1.71919591719259,0.261,0.094,9.21436622780075e-224
"ACHE",3.21377203218202e-121,1.71589891528049,0.121,0.037,8.52003103451775e-117
"CXCL1",0,1.71508733641231,0.455,0.193,0
"HBB",4.90411826439291e-298,1.71234826827422,0.295,0.097,1.3001307930732e-293
"PROSC",4.00080094986073e-197,1.71228695373039,0.195,0.06,1.06065233981758e-192
"SOX15",4.25863620716869e-149,1.71004277063072,0.143,0.042,1.12900704488249e-144
"SEPN1",6.08616085353611e-173,1.70505759858107,0.183,0.059,1.61350210388096e-168
"AHSA2",8.18635042729311e-176,1.70316561530297,0.185,0.06,2.17028336177968e-171
"NEURL3",5.09783259077305e-121,1.69995665408652,0.124,0.038,1.35148639813984e-116
"TUG1",1.39202852556128e-271,1.68532653505012,0.282,0.094,3.6904068241155e-267
"BRE",4.63395384223412e-100,1.6847158127751,0.102,0.031,1.22850750311469e-95
"FHL2",0,1.66880886040079,0.409,0.138,0
"FAM127A",1.5242894320378e-282,1.66522040125118,0.293,0.097,4.0410437132754e-278
"TSPAN1",0,1.66354866930396,0.445,0.167,0
"LINC00116",0,1.66181270277258,0.413,0.135,0
"FERMT1",3.31998378572318e-80,1.66077467161634,0.111,0.042,8.80160901433073e-76
