"Gene","sample_id","Expression"
"MMP9","TCGA-J4-A83N-01",8.775
"MMP9","TCGA-EJ-8472-01",7.5831
"MMP9","TCGA-EJ-A65E-01",6.7721
"MMP9","TCGA-YL-A8HJ-01",10.2786
"MMP9","TCGA-HC-7745-11",1.9744
"MMP9","TCGA-XK-AAIW-01",5.5567
"MMP9","TCGA-V1-A9Z7-01",7.2452
"MMP9","TCGA-HC-8259-01",6.3003
"MMP9","TCGA-VP-A87H-01",6.9298
"MMP9","TCGA-J4-A67M-01",9.2975
"MMP9","TCGA-HC-7819-11",5.1399
"MMP9","TCGA-KK-A6E0-01",5.0096
"MMP9","TCGA-HC-7738-01",9.2165
"MMP9","TCGA-EJ-5517-01",8.2829
"MMP9","TCGA-VP-A872-01",8.2777
"MMP9","TCGA-VN-A88I-01",7.0066
"MMP9","TCGA-KK-A7B2-01",9.6303
"MMP9","TCGA-KC-A4BR-01",6.2316
"MMP9","TCGA-YL-A9WK-01",7.3237
"MMP9","TCGA-EJ-5514-01",6.7234
"MMP9","TCGA-G9-7521-01",7.8692
"MMP9","TCGA-V1-A8MF-01",8.3655
"MMP9","TCGA-MG-AAMC-01",7.5985
"MMP9","TCGA-VN-A88P-01",6.8086
"MMP9","TCGA-HC-7736-01",9.4074
"MMP9","TCGA-YL-A8SQ-01",6.2635
"MMP9","TCGA-EJ-A65B-01",10.1053
"MMP9","TCGA-VN-A88K-01",4.8377
"MMP9","TCGA-EJ-A46H-01",3.6898
"MMP9","TCGA-CH-5761-01",10.1764
"MMP9","TCGA-J4-A83M-01",8.4781
"MMP9","TCGA-EJ-A65F-01",8.4342
"MMP9","TCGA-ZG-A9KY-01",7.9069
"MMP9","TCGA-KK-A8IG-01",7.2641
"MMP9","TCGA-CH-5738-01",9.7206
"MMP9","TCGA-G9-A9S4-01",5.5232
"MMP9","TCGA-J4-8198-01",6.3238
"MMP9","TCGA-CH-5745-01",8.3098
"MMP9","TCGA-EJ-7784-01",7.0397
"MMP9","TCGA-V1-A9OH-01",6.8515
