"sample_id","MMP9","MMP2","MAPK3","MAPK1","TWIST1","SNAI1"
"TCGA-CH-5789-01",4.9703,11.0095,9.4928,11.8568,4.8831,7.6967
"TCGA-YL-A8HK-01",9.1124,11.1614,10.0432,11.312,7.3313,5.8288
"TCGA-G9-6329-01",7.2509,11.2184,10.418,11.3707,8.2271,5.5445
"TCGA-XQ-A8TA-01",6.8205,9.9617,10.1712,10.4223,8.591,6.0564
"TCGA-2A-AAYU-01",7.6401,10.2061,9.5072,11.5798,6.7099,4.442
"TCGA-HC-8261-01",8.5224,10.2944,10.2282,11.6191,10.7384,4.5152
"TCGA-EJ-5503-01",8.6787,11.5291,10.5514,11.7503,6.0514,6.2126
"TCGA-KK-A5A1-01",6.3174,11.4173,10.1476,11.5751,10.4966,5.0312
"TCGA-EJ-8468-01",7.838,11.8941,9.8617,11.7997,7.1155,5.8655
"TCGA-EJ-7782-01",8.3822,10.7995,9.773,11.9117,5.3906,4.6797
"TCGA-HC-7212-01",6.4351,10.2781,9.6264,11.8107,7.5197,4.6893
"TCGA-KK-A7AQ-01",6.2131,10.9599,10.3494,10.6265,8.5973,6.1474
"TCGA-EJ-7791-01",7.3821,12.1139,9.9492,11.8815,4.7516,5.6533
"TCGA-J4-A83K-01",8.0441,10.8183,9.835,11.4178,7.6741,4.8372
"TCGA-VN-A88Q-01",8.921,9.9783,9.4973,11.1298,8.2993,5.01
"TCGA-EJ-5498-01",7.2643,11.2649,9.9533,11.9625,7.088,6.0292
"TCGA-ZG-A9LY-01",7.4407,10.6801,10.1078,11.0716,7.9849,5.9032
"TCGA-VP-A876-01",7.6208,9.475,9.8213,11.1936,8.4601,3.7823
"TCGA-V1-A8MK-01",6.7301,10.3987,10.008,11.5366,6.5619,6.1343
"TCGA-YL-A8SF-01",8.8377,12.3481,10.1052,11.462,8.4165,5.8437
"TCGA-KK-A8I8-01",7.144,10.376,9.7696,11.2785,7.6392,4.0744
"TCGA-KK-A7AV-01",8.874,11.5497,10.2879,11.2409,5.3193,6.0494
"TCGA-YL-A8SI-01",8.025,11.7187,10.2812,11.5483,6.533,5.8274
"TCGA-TK-A8OK-01",7.2895,12.3536,10.3117,11.6944,7.2055,6.8432
"TCGA-EJ-5508-01",9.1937,10.8198,9.8683,11.8994,6.8741,4.4478
"TCGA-VP-A879-01",4.7107,10.6962,10.1306,11.4314,7.4323,5.1434
"TCGA-ZG-A9L1-01",1.2041,11.8535,10.1173,11.3968,11.1166,6.7539
"TCGA-KK-A6E3-01",8.6674,11.9022,10.7813,10.9383,6.6981,5.3448
"TCGA-G9-6342-01",8.0721,10.2452,10.1063,11.6328,7.4089,4.8385
"TCGA-EJ-5515-01",2.1642,10.5277,9.7169,12.2058,5.0346,5.1975
"TCGA-G9-6364-01",9.2945,11.8393,10.17,11.8823,7.6561,5.3841
"TCGA-G9-6332-01",8.1075,9.0805,9.4335,11.6297,8.2804,3.3531
"TCGA-YL-A8SR-01",4.7038,10.4246,10.2085,11.5951,3.8946,5.3828
"TCGA-KK-A6E5-01",7.3702,10.8379,10.1735,11.3943,6.3063,6.2896
"TCGA-EJ-7783-01",7.3653,10.7513,10.0121,11.6441,7.5505,5.4301
"TCGA-J4-A83I-01",7.6402,11.4165,9.6017,11.5997,6.4118,4.564
"TCGA-KK-A8II-01",8.4765,8.5711,9.6109,11.5881,8.0848,4.2628
"TCGA-CH-5743-01",8.0427,10.7473,10.4262,11.4256,5.6542,6.5786
"TCGA-EJ-5509-01",10.8271,11.9651,10.2178,11.9352,8.1184,5.6854
"TCGA-KK-A59V-01",10.9058,10.8222,9.8249,10.9671,8.3328,7.1466
"TCGA-CH-5771-01",8.0587,12.0715,10.5251,11.5755,8.4926,6.7915
"TCGA-J4-A83N-01",8.775,9.7102,9.7273,11.1489,6.7128,5.0861
"TCGA-EJ-8472-01",7.5831,10.7205,8.9289,11.166,8.56,4.6856
"TCGA-EJ-A65E-01",6.7721,10.4842,9.973,11.6375,8.1084,4.0478
"TCGA-YL-A8HJ-01",10.2786,12.5837,9.9305,11.557,8.1208,5.286
"TCGA-XK-AAIW-01",5.5567,8.2647,10.5214,11.7073,5.9124,5.2503
"TCGA-V1-A9Z7-01",7.2452,12.4498,10.5577,11.6119,7.5758,6.0595
"TCGA-HC-8259-01",6.3003,9.6276,9.5663,11.5115,7.2943,3.8671
"TCGA-VP-A87H-01",6.9298,10.6163,10.5037,11.1795,8.0753,6.0615
"TCGA-J4-A67M-01",9.2975,11.8296,10.6503,10.5992,8.513,5.6964
"TCGA-KK-A6E0-01",5.0096,9.708,9.6216,11.6198,7.0388,4.9501
"TCGA-HC-7738-01",9.2165,9.2683,9.305,11.7386,6.681,4.5487
"TCGA-EJ-5517-01",8.2829,10.9246,9.747,12.0601,4.445,4.5261
"TCGA-VP-A872-01",8.2777,12.1545,11.6757,11.1016,6.3794,6.895
"TCGA-VN-A88I-01",7.0066,12.8736,10.6801,11.2534,6.6166,6.1167
"TCGA-KK-A7B2-01",9.6303,11.2904,10.5702,10.5881,6.1585,7.1654
"TCGA-KC-A4BR-01",6.2316,11.5328,10.0048,11.2589,5.4363,8.1939
"TCGA-YL-A9WK-01",7.3237,12.0202,10.2386,11.2525,7.0575,6.4656
"TCGA-EJ-5514-01",6.7234,11.7498,9.7705,12.3734,4.5939,5.9788
"TCGA-G9-7521-01",7.8692,11.0024,9.9083,12.0427,5.5466,6.0955
"TCGA-V1-A8MF-01",8.3655,11.264,10.2675,11.3648,4.524,5.0879
"TCGA-MG-AAMC-01",7.5985,9.2911,8.7384,10.7266,8.6475,5.8216
"TCGA-VN-A88P-01",6.8086,11.2236,9.8314,11.5466,5.9846,5.8283
"TCGA-HC-7736-01",9.4074,11.0377,9.9659,11.693,4.8255,6.0146
"TCGA-YL-A8SQ-01",6.2635,11.1521,9.8074,11.1598,7.7052,4.8315
"TCGA-EJ-A65B-01",10.1053,11.3595,10.6897,10.6947,6.1392,5.748
"TCGA-VN-A88K-01",4.8377,11.3554,9.1835,11.0492,7.706,5.9158
"TCGA-EJ-A46H-01",3.6898,12.3901,10.651,11.5054,6.1303,6.6918
"TCGA-CH-5761-01",10.1764,11.3721,9.8569,12.1954,6.0103,6.2414
"TCGA-J4-A83M-01",8.4781,10.7271,9.8198,11.186,9.3503,5.8671
"TCGA-EJ-A65F-01",8.4342,11.388,10.0511,11.3946,7.0308,4.7339
"TCGA-ZG-A9KY-01",7.9069,10.0292,9.8679,11.6848,6.4543,4.1967
"TCGA-KK-A8IG-01",7.2641,11.7147,10.0089,11.4811,7.2501,7.0176
"TCGA-CH-5738-01",9.7206,12.1382,9.9041,11.6069,7.0514,8.0495
