"sample_id","SERPINB1_Beta","Gene","Expression"
"TCGA-CH-5743-01",0.15731,"MAPK1",11.4256
"TCGA-CH-5743-01",0.15731,"TWIST1",5.6542
"TCGA-CH-5743-01",0.15731,"SNAI1",6.5786
"TCGA-CH-5744-01",0.57911,"MMP9",8.3292
"TCGA-CH-5744-01",0.57911,"MMP2",9.4894
"TCGA-CH-5744-01",0.57911,"MAPK3",9.823
"TCGA-CH-5744-01",0.57911,"MAPK1",11.4009
"TCGA-CH-5744-01",0.57911,"TWIST1",7.6222
"TCGA-CH-5744-01",0.57911,"SNAI1",6.7522
"TCGA-CH-5745-01",0.59575,"MMP9",8.3098
"TCGA-CH-5745-01",0.59575,"MMP2",11.7586
"TCGA-CH-5745-01",0.59575,"MAPK3",10.3595
"TCGA-CH-5745-01",0.59575,"MAPK1",11.6107
"TCGA-CH-5745-01",0.59575,"TWIST1",8.1134
"TCGA-CH-5745-01",0.59575,"SNAI1",5.8283
"TCGA-CH-5746-01",0.46563,"MMP9",7.3598
"TCGA-CH-5746-01",0.46563,"MMP2",10.2616
"TCGA-CH-5746-01",0.46563,"MAPK3",9.6628
"TCGA-CH-5746-01",0.46563,"MAPK1",11.8218
"TCGA-CH-5746-01",0.46563,"TWIST1",7.2843
"TCGA-CH-5746-01",0.46563,"SNAI1",4.8323
"TCGA-CH-5748-01",0.58539,"MMP9",7.0346
"TCGA-CH-5748-01",0.58539,"MMP2",9.8869
"TCGA-CH-5748-01",0.58539,"MAPK3",9.3327
"TCGA-CH-5748-01",0.58539,"MAPK1",11.9459
"TCGA-CH-5748-01",0.58539,"TWIST1",7.1407
"TCGA-CH-5748-01",0.58539,"SNAI1",3.9631
"TCGA-CH-5750-01",0.65636,"MMP9",9.3699
"TCGA-CH-5750-01",0.65636,"MMP2",10.0631
"TCGA-CH-5750-01",0.65636,"MAPK3",9.6201
"TCGA-CH-5750-01",0.65636,"MAPK1",11.6067
"TCGA-CH-5750-01",0.65636,"TWIST1",8.6008
"TCGA-CH-5750-01",0.65636,"SNAI1",6.2039
"TCGA-CH-5751-01",0.48982,"MMP9",10.1856
"TCGA-CH-5751-01",0.48982,"MMP2",10.2249
"TCGA-CH-5751-01",0.48982,"MAPK3",10.0683
"TCGA-CH-5751-01",0.48982,"MAPK1",11.6548
"TCGA-CH-5751-01",0.48982,"TWIST1",8.1679
"TCGA-CH-5751-01",0.48982,"SNAI1",7.2684
"TCGA-CH-5752-01",0.69555,"MMP9",4.5586
"TCGA-CH-5752-01",0.69555,"MMP2",10.248
"TCGA-CH-5752-01",0.69555,"MAPK3",9.9383
"TCGA-CH-5752-01",0.69555,"MAPK1",12.0005
"TCGA-CH-5752-01",0.69555,"TWIST1",5.8189
"TCGA-CH-5752-01",0.69555,"SNAI1",5.8106
"TCGA-CH-5753-01",0.71636,"MMP9",8.5221
"TCGA-CH-5753-01",0.71636,"MMP2",9.3572
"TCGA-CH-5753-01",0.71636,"MAPK3",9.2417
"TCGA-CH-5753-01",0.71636,"MAPK1",11.178
"TCGA-CH-5753-01",0.71636,"TWIST1",7.2372
"TCGA-CH-5753-01",0.71636,"SNAI1",5.9404
"TCGA-CH-5754-01",0.50158,"MMP9",9.3816
"TCGA-CH-5754-01",0.50158,"MMP2",10.9585
"TCGA-CH-5754-01",0.50158,"MAPK3",10.2068
"TCGA-CH-5754-01",0.50158,"MAPK1",10.8941
"TCGA-CH-5754-01",0.50158,"TWIST1",8.0556
"TCGA-CH-5754-01",0.50158,"SNAI1",6.7394
"TCGA-CH-5761-01",0.6195,"MMP9",10.1764
"TCGA-CH-5761-01",0.6195,"MMP2",11.3721
"TCGA-CH-5761-01",0.6195,"MAPK3",9.8569
"TCGA-CH-5761-01",0.6195,"MAPK1",12.1954
"TCGA-CH-5761-01",0.6195,"TWIST1",6.0103
"TCGA-CH-5761-01",0.6195,"SNAI1",6.2414
"TCGA-CH-5762-01",0.51297,"MMP9",8.661
"TCGA-CH-5762-01",0.51297,"MMP2",11.0166
"TCGA-CH-5762-01",0.51297,"MAPK3",9.5459
"TCGA-CH-5762-01",0.51297,"MAPK1",11.904
"TCGA-CH-5762-01",0.51297,"TWIST1",8.7716
"TCGA-CH-5762-01",0.51297,"SNAI1",6.5065
"TCGA-CH-5763-01",0.29129,"MMP9",7.8042
"TCGA-CH-5763-01",0.29129,"MMP2",11.6523
"TCGA-CH-5763-01",0.29129,"MAPK3",9.7093
"TCGA-CH-5763-01",0.29129,"MAPK1",11.6988
"TCGA-CH-5763-01",0.29129,"TWIST1",6.4978
"TCGA-CH-5763-01",0.29129,"SNAI1",7.3783
"TCGA-CH-5764-01",0.58464,"MMP9",7.8201
"TCGA-CH-5764-01",0.58464,"MMP2",10.1761
"TCGA-CH-5764-01",0.58464,"MAPK3",9.1585
"TCGA-CH-5764-01",0.58464,"MAPK1",11.9677
"TCGA-CH-5764-01",0.58464,"TWIST1",7.2994
"TCGA-CH-5764-01",0.58464,"SNAI1",5.6175
"TCGA-CH-5765-01",0.69031,"MMP9",7.5561
"TCGA-CH-5765-01",0.69031,"MMP2",9.5066
"TCGA-CH-5765-01",0.69031,"MAPK3",9.7275
"TCGA-CH-5765-01",0.69031,"MAPK1",12.0696
"TCGA-CH-5765-01",0.69031,"TWIST1",7.6036
"TCGA-CH-5765-01",0.69031,"SNAI1",5.935
"TCGA-CH-5766-01",0.53758,"MMP9",7.8272
"TCGA-CH-5766-01",0.53758,"MMP2",10.4912
"TCGA-CH-5766-01",0.53758,"MAPK3",9.8555
"TCGA-CH-5766-01",0.53758,"MAPK1",11.7268
"TCGA-CH-5766-01",0.53758,"TWIST1",7.1053
"TCGA-CH-5766-01",0.53758,"SNAI1",5.5196
"TCGA-CH-5767-01",0.7598,"MMP9",6.6539
"TCGA-CH-5767-01",0.7598,"MMP2",10.2693
"TCGA-CH-5767-01",0.7598,"MAPK3",9.8861
"TCGA-CH-5767-01",0.7598,"MAPK1",11.8637
"TCGA-CH-5767-01",0.7598,"TWIST1",5.6788
"TCGA-CH-5767-01",0.7598,"SNAI1",5.829
"TCGA-CH-5768-01",0.68308,"MMP9",8.9308
"TCGA-CH-5768-01",0.68308,"MMP2",9.9408
"TCGA-CH-5768-01",0.68308,"MAPK3",9.3748
"TCGA-CH-5768-01",0.68308,"MAPK1",11.6933
"TCGA-CH-5768-01",0.68308,"TWIST1",7.6717
"TCGA-CH-5768-01",0.68308,"SNAI1",4.3129
"TCGA-CH-5769-01",0.588,"MMP9",6.3148
"TCGA-CH-5769-01",0.588,"MMP2",10.9456
"TCGA-CH-5769-01",0.588,"MAPK3",9.8633
"TCGA-CH-5769-01",0.588,"MAPK1",11.6611
"TCGA-CH-5769-01",0.588,"TWIST1",7.041
"TCGA-CH-5769-01",0.588,"SNAI1",5.7558
