"Gene","Correlation","P_value","N"
"MMP2",-0.461651624949283,1.71909015769512e-29,533
"MMP9",-0.0818446485528372,0.0589906323092326,533
"SNAI1",-0.347334505657326,1.47498146048841e-16,533
"TWIST1",0.325205040964209,1.35416841552383e-14,533
"MAPK3",-0.354072948572169,3.46150443915222e-17,533
"MAPK1",-0.086846224196085,0.0450613513323004,533
"MAPK14",-0.355795303758138,2.37639720431201e-17,533
"JUN",-0.185894499316288,1.56498903491052e-05,533
"FOS",-0.267574809603517,3.43471994778224e-10,533
