"Gene","Correlation","P_value","N","Significance"
"MMP2",-0.418217378520725,1.29882167396659e-24,548,"***"
"MMP9",-0.0861422084855968,0.0438333618607025,548,"*"
"SNAI1",-0.3313416080748,1.65376055751706e-15,548,"***"
"TWIST1",0.282183088512666,1.72182731911138e-11,548,"***"
"MAPK3",-0.280734914042909,2.20342701624253e-11,548,"***"
"MAPK1",-0.123686179343263,0.00373221686534956,548,"**"
"MAPK14",-0.32504243301593,5.96959275328186e-15,548,"***"
"JUN",-0.165827066709109,9.61600428838181e-05,548,"***"
"FOS",-0.248697778400534,3.60118306747807e-09,548,"***"
